country,iso3,Population density,GDP per capita,Inflation rate,Health expenditure per capita,Unemployment rate,Extreme poverty,Life expectancy,Crude death rate,Population aged 65 and above,Tobacco use,Hospital beds,Air Passengers,Lower secondary,Pupil-teacher ratio,Education expenditure,Diabetes prevalence,Health personnel
Italy,ITA,201.980545589195,33673.7509627421,0.938114135013862,2910.62792969,9.952,1.0,83.4975609756098,10.6,23.0628761765936,23.3,3.14,27760301.0,82.1943817138672,11.48066,4.09527015686035,5.1,10.496
Jamaica,JAM,259.812834718375,5626.17047314286,3.18250309465809,343.06192017,4.987,0.1,71.767,7.477,6.84383566122782,9.7,1.72,180951.272,60.7160682678223,24.79434,5.16364002227783,15.7,1.534
Japan,JPN,347.415637860082,40415.9567649547,0.63480316569607,4378.77490234,2.351,0.7,84.3563414634146,11.2,29.2798136767022,20.5,12.98,130233352.0,98.6152267456055,15.66096,3.15533995628357,7.7,15.064
Jordan,JOR,120.488805549925,4159.6537537759,0.843928095681321,314.88452148,16.801,0.0,76.044,3.148,3.49206516857892,34.6,1.47,3478444.0,80.7258377075195,18.53699,2.98846006393433,12.1,5.673
Kazakhstan,KAZ,6.85767789013594,9812.59552626324,7.63328623733945,270.01306152,4.8,0.0,73.18,7.19,7.67978397225846,23.5,6.06,7656866.0,99.4586715698242,17.21457,2.8569700717926,7.7,11.134
Kenya,KEN,89.5235794356397,1970.08007048615,4.2752342393575,86.06783295,5.014,35.0,62.943,7.29,2.75780669637469,11.5,1.4,6417534.056,60.5199508666992,30.65055,4.57799243927002,5.1,1.36
Kiribati,KIR,153.383950617284,1410.01464320535,-2.06499590361952,163.10388184,8.557,1.7,67.15,6.252,3.62480984538115,41.7,1.86,65846.852,69.7021713256836,25.48855,13.5741233825684,25.3,3.816
South Korea,KOR,530.377274590164,31902.4169048194,-0.839325308149668,2595.22338867,3.746,0.2,83.2268292682927,5.7,15.0656921994541,21.4,12.43,92434079.0,85.7208404541016,16.28669,4.68465995788574,7.5,10.544
Kosovo,XKX,531.109006147541,4416.02925267842,0.962960088925087,2642.41430664,25.069,0.4,79.022,5.56,9.38967038738863,20.8,12.43,30033310.0,85.7208404541016,16.28669,4.8017201423645,7.5,11.038
Kuwait,KWT,249.219977553311,30666.2371314234,-0.364836530022842,1643.56970215,2.16,0.4,79.685,2.194,3.52671675111085,17.9,2.04,7385299.0,55.9323883056641,8.88073,4.8017201423645,20.7,6.88
Kyrgyzstan,KGZ,33.6611053180396,1451.51563835807,9.81131193761522,63.05092621,4.252,0.7,71.6,5.2,4.15722392930784,27.6,4.41,867935.0,93.7392578125,24.98946,5.36674976348877,6.3,7.852
Laos,LAO,31.2480632582322,2598.50552320723,1.19742392109292,67.81835938,3.269,7.1,68.138,6.505,4.20668705568304,32.5,1.5,979307.0,22.5976905822754,22.33717,2.12201404571533,3.3,1.5470000000000002
Latvia,LVA,30.755491989008,17883.3494113217,4.25589850087644,1183.1151123,6.312,0.2,75.3878048780488,14.5,21.052273205759,37.2,5.49,4976410.0,99.238639831543,11.53684,4.42054986953735,7.8,7.857
Lebanon,LBN,565.191300097752,8925.42186017072,4.09482315573024,731.67156982,11.301,0.0,79.236,5.178,8.99203402891416,38.4,2.73,3164358.0,99.238639831543,12.48274,2.60026550292969,19.6,4.546
Lesotho,LSO,73.3103425559947,1061.22335618067,2.33051615472073,120.54795837,16.876,32.4,54.173,13.014,4.18710685148031,24.4,2.73,1077762.0,29.9984607696533,32.94806,7.19406890869141,3.4,3.5780000000000003
Liberia,LBR,51.7575685215947,665.878447568436,-0.560426634044902,52.09077454,5.947,27.6,61.104,8.658,3.39556041786143,8.4,0.8,1077762.0,30.5539894104004,22.32254,2.493976354599,3.3,1.976
Libya,LBY,3.73341214180979,10542.4290201042,4.17467924190804,312.84854126,19.03,27.6,72.463,5.454,4.78723226116015,8.2,3.2,1367458.0,30.5539894104004,22.32254,2.13991451263428,13.8,8.895
Liechtenstein,LIE,240.5125,167259.160311816,-4.39759349195357,312.84854126,19.03,27.6,84.1609756097561,6.8,18.047398783847,8.2,3.2,715300.42,30.5539894104004,7.80156,2.55604004859924,4.7,8.895
Lithuania,LTU,44.6205206004471,19615.5491450175,2.77156306285475,1369.97949219,6.255,0.5,76.2829268292683,13.7,20.177492196612,32.3,6.43,40944.0,96.6112670898438,13.51703,3.96757006645203,7.8,12.386
Luxembourg,LUX,240.827591028798,112726.439672814,0.900736076793322,6221.73876953,5.595,0.1,82.6390243902439,6.9,14.4442580563992,21.6,4.26,2114417.0,96.6112670898438,8.30333,3.73954010009766,4.5,15.065
Macao,MAC,20171.8237082067,82998.6361006441,2.40360427897856,6757.0,1.749,0.0,84.978,3.983,11.0754498777598,21.1,4.26,3659911.0,73.3394165039062,13.49843,3.05862998962402,7.2,15.065
Madagascar,MDG,47.3240529391543,512.27966560241,6.52209064077279,19.35046577,1.785,80.7,65.882,6.518,3.17545398210026,28.4,0.2,544458.0,28.5201206207275,39.81169,3.01338386535645,4.7,0.487
Malawi,MWI,200.12024819686,584.362867276266,7.72834797950487,30.01859474,0.907,70.1,64.119,6.611,2.87105972801195,11.3,1.3,7117.0,18.8115196228027,58.67919,3.32295989990234,5.6,0.749
Malaysia,MYS,99.8448333586973,11132.1027429418,0.0718269093121364,427.46286011,3.26,0.0,75.76,5.253,6.76091233270972,22.8,1.88,63623130.0,76.7779769897461,11.6556,3.97953963279724,12.1,5.454000000000001
Maldives,MDV,1681.69333333333,11349.8592642235,-1.30973755239533,851.50939941,4.562,0.0,80.116,2.858,4.27228111348086,25.9,1.88,1221786.67512409,41.4081382751465,10.16278,4.20936489105225,9.2,7.2219999999999995
Mali,MLI,16.8559191601308,840.175746366299,1.93054206895806,32.61206436,3.528,15.2,59.664,9.205,2.53896890539136,8.6,0.1,0.0,11.6256904602051,37.82669,3.55504989624023,1.9,0.5449999999999999
Malta,MLT,1575.19375,31727.0070746362,2.29750730515386,2943.63134766,3.627,0.3,82.8585365853659,7.3,18.8251599125953,24.5,4.49,2382607.8,85.2380523681641,12.93931,4.93738985061646,6.6,17.116
Marshall Islands,MHL,248.488888888889,5186.83384237084,-4.19623301649811,782.23565674,6.342,0.9,64.746,7.29,3.57154834166136,28.4,2.7,21500.0,92.0607376098633,12.93931,9.91648006439209,21.8,4.699
Mauritania,MRT,4.25327350344426,1800.87518658218,5.32804485029229,60.2051506,10.416,5.4,65.687,7.003,3.34011314487716,11.1,2.7,386621.0,18.3766899108887,34.27814,1.7844500541687,4.3,1.146
Mauritius,MUS,633.943415122684,11403.2527870674,-0.46584287384826,671.86047363,6.331,0.1,74.2358536585366,8.8,11.2854948664601,20.5,3.4,1726868.0,54.2446708679199,16.19841,4.54195022583008,14.8,6.3870000000000005
Mexico,MEX,64.3459507703387,10434.5783651735,4.28758053550031,552.70422363,3.477,2.1,74.202,6.931,7.88190672477085,13.4,0.98,69937838.0,64.4899978637695,26.55228,4.62572002410889,15.6,5.354
Micronesia (country),FSM,159.112857142857,3734.99492723045,2.29821860869225,420.57949829,8.863,16.0,71.077,5.728,5.21824229990528,13.1,0.98,34133108.0,64.4899978637695,19.7106,10.2259912490845,15.7,3.162
Moldova,MDA,92.756093569939,4404.95042249597,5.35171200346649,284.30636597,1.502,0.0,70.935,13.089,13.0034143851839,28.7,5.66,1408166.0,96.9573364257812,17.92314,6.22576999664307,2.7,8.440999999999999
Monaco,MCO,18270.350271337,199382.838585354,1.27736413799498,3055.43920898,6.33,0.0,70.166,6.6,35.6213209483178,29.0,13.8,316.0,96.9573364257812,11.7,1.15890002250671,5.6,28.586
Mongolia,MNG,2.07571898811886,4394.94715044543,9.97221325666415,182.86535645,9.269,0.7,71.822,5.499,4.12313710167538,29.6,8.0,744413.0,76.2942504882812,30.38318,3.65236973762512,7.1,8.081
Montenegro,MNE,46.2474349442379,8909.6538759126,2.02214868727721,732.34954834,15.128,2.0,76.6829268292683,10.6,15.5907556520029,31.8,3.86,597380.0,79.6583862304688,30.38318,4.66345500946045,7.7,7.947000000000001
Morocco,MAR,81.3453013667936,3498.58276367188,0.816805456485284,177.24794006,9.3,1.4,74.27,5.658,6.87411852128423,14.9,1.0,9380951.0,79.6583862304688,26.80065,5.00325679779053,6.8,2.123
Mozambique,MOZ,38.5126719906407,512.21576378384,4.67765432185085,40.41281128,3.426,74.5,61.166,8.04,2.59259393781103,14.8,0.7,587364.0,21.7583103179932,55.27379,6.2863941192627,3.1,0.5589999999999999
Myanmar,MMR,81.2627730963689,1415.37967619462,5.42293300468495,61.15328217,0.407,2.0,66.61,8.692,6.2608648698463,45.1,1.04,3701663.849,42.6302795410156,24.3599,2.13986992835999,7.1,1.854
Namibia,NAM,2.97178879860074,5126.17614281673,0.926318636067421,431.81781006,19.877,15.6,63.075,8.248,3.97587389586023,15.5,1.04,212578.0,42.6302795410156,25.09173,9.32253170013428,7.8,2.59
Nauru,NRU,606.6,10316.5278229326,-4.34760806338382,1158.77087402,13.282,1.7,63.484,6.48,1.97832090013601,49.2,5.0,50668.0,42.6302795410156,40.17778,6.22442197799683,20.4,8.309000000000001
Nepal,NPL,201.133561213812,1185.68231817311,4.69115593292496,52.83312607,10.66,8.2,69.558,6.871,5.97224232637095,31.5,0.3,1659671.0,32.5764007568359,19.74396,3.48568081855774,3.6,4.082
Netherlands,NLD,515.143272943273,52476.2732533327,3.03273379248688,5340.61279297,3.38,0.1,82.1121951219512,8.8,19.3190662940831,22.6,3.17,46358457.951,91.2177810668945,11.80592,5.15986013412476,5.3,14.751
New Caledonia,NCL,14.8380743982495,34934.5794300065,2.43407708116916,5846.15478516,10.881,0.0,80.4197073170732,6.0,10.0415594973614,22.2,3.17,14748517.334,91.2177810668945,11.80592,5.42381000518799,8.6,15.166
New Zealand,NZL,18.9100300026585,42796.4305818389,3.10008899782621,4081.59082031,4.109,0.0,82.0560975609756,6.87,15.2698993392665,14.2,2.57,17763604.459,81.919792175293,14.91552,5.17202997207642,8.6,14.23
Nicaragua,NIC,55.3758018946319,1905.63832831484,5.3954978400473,161.98634338,5.2,3.9,74.054,4.626,4.9524874533383,13.7,0.93,8516619.501,35.4700012207031,30.21638,4.59991979598999,11.0,2.194
Niger,NER,18.507454803821,549.81612778082,-0.0243827616463079,31.21994209,0.544,50.9,62.897,7.824,2.43636874576986,7.6,0.39,14713.0,4.36065006256104,36.33661,3.52622723579407,4.2,0.26
Nigeria,NGA,223.222648967357,2334.02364318105,10.384779195217,69.68148041,10.695,30.9,52.91,12.989,3.01014033425818,3.9,0.39,6539048.35309011,44.6351585388184,37.55319,3.81920099258423,4.8,1.85
North Macedonia,MKD,82.3431403647898,6070.38805358275,0.86816868476069,421.38973999,17.393,2.7,76.6024390243903,9.8,14.2528342011261,3.7,4.28,3435350.518,68.4875717163086,14.91335,3.81920099258423,7.7,6.574
Northern Mariana Islands,MNP,108.386956521739,23687.2718520599,2.36479303972395,452.96640015,11.17,2.7,74.3951219512195,4.0,7.91949135544948,3.7,4.28,3435350.518,68.4875717163086,14.91335,3.81920099258423,7.7,6.574
Norway,NOR,14.6479975020132,76430.5889473338,-0.548467415755809,8007.35546875,3.687,0.2,82.9585365853659,7.6,17.3963827799917,17.1,3.53,3435350.518,99.188232421875,8.59418,7.8645601272583,4.7,23.398
Oman,OMN,14.8716252019386,19132.1522739094,-2.66616164476726,728.25482178,2.94,0.2,78.002,2.205,2.63382816600793,7.9,1.47,11239996.0,66.4192199707031,9.67394,4.35383987426758,10.5,6.5009999999999994
Pakistan,PAK,289.660232461602,1437.1658330724,9.03633484170507,37.22461343,4.83,4.9,66.756,6.765,4.11555959972365,20.8,0.63,7420378.249,25.7791996002197,44.0773,2.21491765975952,7.9,1.553
Palau,PLW,38.9478260869565,15738.4670127261,-2.47236118209374,2402.77954102,0.765,4.9,66.269,10.2,8.79077944911115,17.9,4.8,3711456.87,97.1230697631836,44.0773,2.05718231201172,11.1,8.278
Panama,PAN,57.0575896468051,16472.8317470488,0.315250866507228,1318.03759766,6.409,1.0,77.81,5.12,8.14397859248318,5.3,2.25,12497758.0,64.3899993896484,21.96162,3.09329414367676,9.4,4.854
Papua New Guinea,PNG,21.0716027028221,2593.77555393227,1.06414283741798,60.31322479,2.62,1.0,65.474,6.468,2.96591490759928,39.9,2.25,2029701.0,30.4892807006836,35.52165,1.8748300075531,7.6,0.478
Paraguay,PRY,16.436008054367,5807.83879407975,3.06187945458328,415.88879395,6.595,1.0,73.621,5.636,6.04212708784566,12.1,0.83,632389.0,52.5800018310547,24.15974,3.48983025550842,6.5,2.8445
Peru,PER,25.64442265625,6955.88082448096,1.87221626775495,366.56491089,3.379,3.0,76.156,6.006,8.16166454081351,8.7,1.59,18820572.0,60.689998626709,17.38724,3.822429895401,6.0,4.317
Philippines,PHL,370.194197940772,3413.84904430419,0.697076301045342,142.23664856,2.237,3.0,71.865,5.609,5.07253641189035,23.4,0.99,47776892.0,71.2324905395508,29.08352,3.3557915687561,9.7,5.543
Poland,POL,124.025595374212,15700.0135796738,3.03253664890715,1014.03820801,3.277,0.1,77.9048780487805,10.8,17.8328107053429,24.7,6.54,10225516.0,88.5085830688477,10.18051,4.67881011962891,9.0,10.475999999999999
Portugal,PRT,112.288582794065,23330.817288932,1.74945223999291,2221.73095703,6.464,0.1,81.6756097560976,10.9,22.0214767399134,25.3,3.45,22047878.978,57.9531211853027,12.35346,4.63002014160156,9.6,12.794
Puerto Rico,PRI,360.055693348365,32916.866800639,2.41325585417633,2341.64013672,8.3,0.5,79.063,9.194,21.0772676191542,25.4,3.45,6219531.061,88.4521636962891,13.53647,6.07265996932983,13.0,13.175
Qatar,QAT,244.319843342037,62827.3969543275,-4.45591421178636,2207.65429688,0.1,0.5,80.99,0.991,1.17193608657629,12.0,1.25,32953297.0,68.0085525512695,12.1676,2.80378007888794,19.8,9.735
Romania,ROU,84.1952712100139,12957.9991142218,6.80532496653751,738.5581665,3.912,2.2,75.6073170731707,13.4,18.3327024072829,28.4,6.89,5630289.0,91.1620101928711,19.33481,3.56695008277893,7.7,10.346
Russia,RUS,8.81769599441163,11536.2587890625,3.26313281881684,653.99993896,4.496,0.0,73.0839024390244,12.3,14.9069988688561,27.1,7.12,108857906.0,93.8479232788086,21.25883,3.50932550430298,9.7,12.728000000000002
Rwanda,RWA,520.268666396433,806.100820273159,2.44532262071142,51.0831871,11.236,52.0,66.437,6.137,3.05432134624093,14.1,7.12,1561562.21422701,16.3787899017334,59.50859,3.23868060112,3.1,1.0490000000000002
Samoa,WSM,76.2248201438849,4308.3007294066,1.49948619479095,239.13195801,9.4,1.2,72.157,5.5,4.92766822947021,25.9,7.12,74867.0,89.7339782714844,30.23604,4.39581727981567,7.7,3.7540000000000004
San Marino,SMR,569.633333333333,47287.3983948633,0.914100159383906,3951.05102539,7.54,1.2,72.768,7.2,19.3826347743398,25.3,3.8,11957.0,82.9602508544922,6.93061,3.37969994544983,5.5,14.102
Sao Tome and Principe,STP,223.540625,1924.40814952173,11.2643603433132,104.94572449,13.59,15.7,68.523,5.876,3.77424871504527,5.8,2.9,41933.0,38.8588790893555,31.15842,5.89931058883667,5.5,2.642
Saudi Arabia,SAU,16.6662923491294,23405.7060995766,-1.76482099351951,1291.12866211,5.636,15.7,77.304,2.656,2.29107574261259,14.2,2.24,46181487.0,77.2074127197266,13.81495,5.0152382850647,19.6,8.187999999999999
Senegal,SEN,83.1079883654495,1462.67835252138,2.08580185169056,65.75260925,2.863,9.2,68.526,5.409,3.17237317439776,7.1,2.24,457722.0,12.7950601577759,36.31817,5.44944429397583,3.2,0.64
Serbia,SRB,79.4104161902584,7417.20660836868,2.44060040801315,641.03216553,10.395,2.3,75.9365853658537,14.6,20.541428178724,40.1,5.61,2469081.0,91.7877426147461,14.2927,3.61647009849548,7.7,10.869
Seychelles,SYC,212.228260869565,16851.1197648771,-0.343308614372191,786.65087891,2.966,0.5,74.0463414634146,8.1,7.40089582984024,20.6,3.6,414088.0,91.7877426147461,14.48826,4.05055141448975,12.1,11.331
Sierra Leone,SLE,111.482793017456,506.606913779078,7.70278499631038,44.81790924,3.193,26.1,60.255,9.065,3.14617740393001,14.3,3.6,50193.0,23.1486206054688,27.52246,7.4470100402832,3.2,0.274
Singapore,SGP,7965.87849162011,66070.4868123062,-0.201648173263933,2826.01000977,3.1,26.1,83.5951219512195,5.0,12.195578041407,16.6,2.49,43050722.0,82.1780471801758,14.69428,2.72968006134033,9.5,8.616
Sint Maarten (Dutch part),SXM,1223.76470588235,33836.7733501056,0.759243894460738,3536.99609375,4.1,26.1,75.437,4.7,8.26198231735691,16.5,2.49,7884373.0,83.0585403442383,11.27358,2.68744993209839,9.5,8.616
Slovakia,SVK,113.43899750416,19381.8905468746,2.49431822113719,1342.0748291,5.761,0.1,77.6658536585366,9.8,16.3162889691899,31.5,5.7,2669.0,99.0162200927734,15.53919,4.27319002151489,5.7,9.625
Slovenia,SVN,103.711934605987,26042.4463468032,2.29485081978052,2219.10058594,4.448,0.0,81.5292682926829,9.9,19.6906954725528,22.3,4.43,869640.1,98.171012878418,13.80157,4.8964900970459,7.5,13.514
Solomon Islands,SLB,24.115505537692,2398.77305007963,1.24036003353558,103.80370331,0.694,26.6,70.382,4.989,3.4645544472313,36.8,1.4,229670.648,98.171012878418,25.41046,7.47837018966675,15.3,2.335
Somalia,SOM,25.4747027130424,589.465891901577,14.9017577037138,99.12821198,18.828,26.6,57.078,11.041,2.60792918573804,36.5,0.87,34065.5568461863,98.171012878418,25.41046,0.270661741495132,4.3,0.136
South Africa,ZAF,47.8835494481036,6702.52661666304,4.61352468937162,550.48022461,25.538,20.5,66.175,8.614,5.95003826584081,20.4,2.3,26211258.0,81.8046798706055,30.3322,5.92770004272461,7.0,5.812
South Sudan,SSD,16.5329482695868,1071.77776475545,17.6893321393151,23.71821594,24.339,67.3,55.912,10.531,2.74525908466063,20.3,2.3,8304771.044,79.2551422119141,46.75029,1.56539225578308,7.0,0.39799999999999996
