country,iso3,Population density,GDP per capita,Inflation rate,Health expenditure per capita,Unemployment rate,Extreme poverty,Life expectancy,Crude death rate,Population aged 65 and above,Tobacco use,Hospital beds,Air Passengers,Lower secondary,Pupil-teacher ratio,Education expenditure,Diabetes prevalence,Health personnel
Spain,ESP,94.3508089023978,29581.5185513299,1.44735843001939,2712.5090332,14.104,0.8,83.8317073170732,8.8,19.4846195014225,28.1,2.97,88237165.272,80.7694320678711,13.13172,4.23021984100342,6.3,10.498000000000001
Sri Lanka,LKA,352.431694638296,4082.69404871533,3.8705276117724,142.05116272,4.67,1.0,76.008,7.072,10.449222214257,22.3,4.15,5582446.0,81.0301971435547,21.73735,1.5554107427597,7.5,3.363
Saint Kitts and Nevis,KNA,183.507692307692,23204.9705641255,-1.13119652236264,1204.34094238,5.365,1.0,71.572,9.91,8.76623036374878,22.0,2.3,1240391.0,84.089599609375,13.87277,2.98651361465454,8.5,7.553
Saint Lucia,LCA,292.759016393443,11773.4274818992,2.87917114446073,514.16442871,15.613,0.1,73.445,8.068,8.7275700162669,22.0,1.3,1240391.0,46.8031387329102,14.73909,3.27884006500244,8.4,3.877
Saint Martin (French part),MAF,662.42,19691.6167115689,0.891925627181237,607.75250244,25.225,0.1,79.983,4.661,9.26135591685159,22.0,1.3,1240391.0,46.8031387329102,14.73909,3.61721992492676,8.4,3.877
Saint Vincent and the Grenadines,VCT,269.035897435897,8680.25110238522,2.31247061564642,375.02581787,25.225,0.1,72.835,10.1,10.484781769575,22.0,2.4,1240391.0,41.814811706543,14.39258,5.46375846862793,8.8,8.285
Sudan,SDN,23.1435187366167,748.010925292969,51.9788933465452,35.98295401,17.44,15.3,65.876,6.586,3.23432640654247,22.0,0.74,530001.0,41.814811706543,14.39258,5.46375846862793,8.6,1.403
Suriname,SUR,3.84808333333333,6690.04478601228,5.17890859157816,592.97576904,7.917,15.3,72.242,7.06,6.93127858464219,22.0,3.0,236601.0,43.9841003417969,13.39335,5.32032108306885,8.9,4.598
Sweden,SWE,25.2376654802124,51939.4297445291,2.54687548145611,5652.98974609,6.833,0.3,83.109756097561,8.6,19.9695673559639,24.8,2.14,50957868.602,92.0146331787109,12.23325,7.63851022720337,4.2,15.920000000000002
Switzerland,CHE,217.042781721823,84121.9310304414,-0.103895158007788,9666.98046875,4.394,0.0,83.9048780487805,7.9,18.5569421853672,25.7,4.63,30339654.0,97.1908187866211,9.92873,5.01438999176025,5.9,22.64
