cat_value,level_1,direction,counts,n,freq,label,region,var,country
"(14, 16]",0,NS,136,330,0.4121212121212121,41.2 %,Bayern,absolute_humidity,DEU
"(14, 16]",1,Negative,114,330,0.34545454545454546,34.5 %,Bayern,absolute_humidity,DEU
"(14, 16]",2,Positive,80,330,0.24242424242424243,24.2 %,Bayern,absolute_humidity,DEU
"(16, 18]",0,Positive,0,0,0.0,0.0 %,Bayern,absolute_humidity,DEU
"(16, 18]",1,Negative,0,0,0.0,0.0 %,Bayern,absolute_humidity,DEU
"(16, 18]",2,NS,0,0,0.0,0.0 %,Bayern,absolute_humidity,DEU
"(18, 20]",0,Positive,0,0,0.0,0.0 %,Bayern,absolute_humidity,DEU
"(18, 20]",1,Negative,0,0,0.0,0.0 %,Bayern,absolute_humidity,DEU
"(18, 20]",2,NS,0,0,0.0,0.0 %,Bayern,absolute_humidity,DEU
"(20, 22]",0,Positive,0,0,0.0,0.0 %,Bayern,absolute_humidity,DEU
"(20, 22]",1,Negative,0,0,0.0,0.0 %,Bayern,absolute_humidity,DEU
"(20, 22]",2,NS,0,0,0.0,0.0 %,Bayern,absolute_humidity,DEU
"(-6, -3]",0,NS,272,572,0.4755244755244755,47.6 %,Berlin,temperature,DEU
"(-6, -3]",1,Negative,182,572,0.3181818181818182,31.8 %,Berlin,temperature,DEU
"(-6, -3]",2,Positive,118,572,0.2062937062937063,20.6 %,Berlin,temperature,DEU
"(-3, 0]",0,NS,1136,2079,0.5464165464165465,54.6 %,Berlin,temperature,DEU
"(-3, 0]",1,Negative,600,2079,0.2886002886002886,28.9 %,Berlin,temperature,DEU
"(-3, 0]",2,Positive,343,2079,0.16498316498316498,16.5 %,Berlin,temperature,DEU
"(0, 3]",0,NS,1892,2838,0.6666666666666666,66.7 %,Berlin,temperature,DEU
"(0, 3]",1,Negative,495,2838,0.1744186046511628,17.4 %,Berlin,temperature,DEU
"(0, 3]",2,Positive,451,2838,0.15891472868217055,15.9 %,Berlin,temperature,DEU
"(3, 6]",0,NS,2459,3663,0.6713076713076713,67.1 %,Berlin,temperature,DEU
"(3, 6]",1,Negative,781,3663,0.2132132132132132,21.3 %,Berlin,temperature,DEU
"(3, 6]",2,Positive,423,3663,0.11547911547911548,11.5 %,Berlin,temperature,DEU
"(6, 9]",0,NS,2991,4301,0.6954196698442223,69.5 %,Berlin,temperature,DEU
"(6, 9]",1,Negative,843,4301,0.19600093001627528,19.6 %,Berlin,temperature,DEU
