,Date,S,E,I,Q,R,D,P,Total Cases,std S,std E,std I,std Q,std R,std D,std P,std Total Cases,N
245,2022-08-03,157920.7,59336.3,2144133.4,77882.5,3173600.3,50294.1,4397406.7,3301776.9,285767.1705361027,65801.41120226831,3046995.3228548346,9717.351843480816,18183.883391894044,7543.506723666387,2888588.168871362,35444.74195904125,10060574
246,2022-08-04,160084.6,59109.7,2141034.8,76967.1,3180028.0,50294.1,4393055.7,3307289.2,288509.9293224412,65306.26500734825,3045024.668511268,9698.774947899348,18354.94421130176,7543.506723666387,2885988.1404044973,35597.2258828675,10060574
247,2022-08-05,162301.1,58912.1,2137968.8,76102.2,3186366.3,50294.1,4388629.4,3312762.5999999996,291313.08415567264,64842.91246921285,3043075.456810258,9685.791158186305,18479.894236980905,7543.506723666387,2883344.6314188736,35709.1921188336,10060574
248,2022-08-06,164677.1,58713.8,2134937.9,75232.1,3192687.4,50294.1,4384031.6,3318213.6,294455.6037838133,64376.942107869654,3041052.918317353,9581.13995775033,18642.019247924833,7543.506723666387,2880619.656412703,35766.66592934155,10060574
249,2022-08-07,166975.4,58567.1,2131962.5,74391.6,3198903.4,50294.1,4379479.9,3323589.1,297314.28094802314,63918.84026552735,3039070.7317422293,9539.997297693539,18803.804530998506,7543.506723666387,2877899.27802953,35887.30855235843,10060574
250,2022-08-08,169264.7,58412.3,2129000.2,73606.3,3205072.2,50294.1,4374924.2,3328972.6,300289.65295995463,63488.77931107197,3036990.7729439284,9410.73373388069,18938.180603215296,7543.506723666387,2875190.599247424,35892.421060762375,10060574
251,2022-08-09,171748.5,58333.6,2126107.9,72721.0,3211235.9,50294.1,4370133.0,3334251.0,303656.99596559606,63158.327810669594,3034947.639856129,9363.43392137735,19067.26872653763,7543.506723666387,2872365.4184398265,35974.20937158137,10060574
252,2022-08-10,174347.6,58283.1,2123092.1,71884.9,3217583.6,50294.1,4365088.6,3339762.6,306982.2227163,62776.78894854371,3032838.388642773,9260.341132485348,19179.70598940453,7543.506723666387,2869371.7927149907,35983.553845556264,10060574
253,2022-08-11,176874.8,58218.8,2120283.5,71082.0,3223622.8,50294.1,4360198.0,3344998.9,310196.2958898123,62414.59102934186,3030717.238698102,9185.545460123749,19288.75488879466,7543.506723666387,2866474.744100809,36017.807072584794,10060574
254,2022-08-12,179280.6,58167.7,2117521.2,70325.3,3229564.8,50294.1,4355420.3,3350184.1999999997,313115.2765385937,62073.49521019419,3028546.8052691473,9133.338732905946,19362.49455932783,7543.506723666387,2863626.7056724783,36039.34001590016,10060574
255,2022-08-13,181735.9,58140.1,2114801.0,69583.3,3235455.2,50294.1,4350564.4,3355332.6,316170.8115897007,61746.310837895406,3026392.4685023255,9118.006822217232,19424.388838776886,7543.506723666387,2860743.023903832,36085.902384660505,10060574
256,2022-08-14,184238.8,58099.8,2112151.5,68872.0,3241283.0,50294.1,4345634.8,3360449.1,319303.4920578852,61446.8408786001,3024274.9292044616,9083.353103342399,19512.53695448134,7543.506723666387,2857820.071472478,36139.396781490126,10060574
257,2022-08-15,186858.9,58118.8,2109492.6,68190.4,3247068.9,50294.1,4340550.3,3365553.4,322837.16822028096,61174.17502966427,3022101.2642288217,9016.337296263933,19578.076383802367,7543.506723666387,2854837.7469880506,36137.920403732685,10060574
258,2022-08-16,189353.8,58128.1,2106857.5,67499.7,3252854.2,50294.1,4335586.6,3370648.0,325847.51483041875,60893.4588859099,3019870.457371483,8988.554211328983,19643.77174475411,7543.506723666387,2851888.2358745476,36175.83267974948,10060574
259,2022-08-17,191799.6,58129.3,2104265.3,66860.5,3258576.5,50294.1,4330648.7,3375731.1,328860.93452497513,60632.70657994743,3017584.7593115605,8850.323409344994,19713.340808954734,7543.506723666387,2848954.918298394,36107.17094196612,10060574
260,2022-08-18,194378.4,58183.2,2101724.9,66209.9,3264248.8,50294.1,4325534.7,3380752.8,332074.68682186544,60394.54005255773,3015334.4505457585,8798.813015969825,19770.82122118351,7543.506723666387,2845932.990109818,36113.14096081972,10060574
261,2022-08-19,197153.4,58255.0,2099070.4,65623.8,3270084.2,50294.1,4320093.1,3386002.1,335736.4764282249,60194.59321234757,3012935.5171402586,8798.433221886724,19839.56510511256,7543.506723666387,2842744.025361779,36181.50505066567,10060574
262,2022-08-20,199612.2,58331.9,2096599.4,64999.6,3275672.2,50294.1,4315064.6,3390965.9000000004,338818.841840828,59985.65068656003,3010635.6900012395,8750.178149043595,19898.69988617347,7543.506723666387,2839770.2487986316,36192.38475888345,10060574
263,2022-08-21,202215.3,58451.7,2094114.4,64431.6,3281203.5,50294.1,4309863.4,3395929.2,342239.91911349265,59817.62927607546,3008296.436135481,8754.122334077814,19959.72462861149,7543.506723666387,2836719.5469668196,36257.353686355695,10060574
264,2022-08-22,204877.1,58542.6,2091679.8,63904.5,3286688.7,50294.1,4304587.2,3400887.3000000003,345392.79390179814,59630.80638596127,3005972.2529145144,8759.93285647784,20027.71985049721,7543.506723666387,2833594.711689475,36331.15943064144,10060574
265,2022-08-23,207545.2,58670.7,2089269.9,63392.0,3292146.6,50294.1,4299255.5,3405832.7,348901.5348939583,59452.93545831021,3003618.238319725,8793.737089542761,20065.114279265894,7543.506723666387,2830471.7828819365,36402.35809247504,10060574
266,2022-08-24,210233.3,58823.2,2086948.9,62829.4,3297559.4,50294.1,4293885.7,3410682.9,352165.44227792986,59384.24547100013,3001298.830666898,8824.482174042847,20095.174431688818,7543.506723666387,2827303.011896074,36463.163329398056,10060574
267,2022-08-25,212856.4,58959.4,2084617.6,62377.5,3302923.0,50294.1,4288546.0,3415594.6,355453.36131909065,59232.070636100514,2998930.1093733143,8811.865900591089,20098.06030441744,7543.506723666387,2824160.152453398,36453.43292867491,10060574
268,2022-08-26,215595.6,59112.4,2082361.5,61857.5,3308261.6,50294.1,4283091.3,3420413.2,359053.01723344426,59124.23448164044,2996529.141013658,8802.954654546393,20169.496727484304,7543.506723666387,2820980.405102951,36515.958105697086,10060574
269,2022-08-27,218469.4,59284.4,2080074.0,61414.0,3313569.5,50294.1,4277468.6,3425277.6,362837.0800891773,59020.47837352727,2994123.645176765,8794.568516988198,20276.49273049952,7543.506723666387,2817715.2139492454,36614.56797115411,10060574
270,2022-08-28,221349.4,59460.8,2077783.2,60958.1,3319044.3,50294.1,4271684.1,3430296.5,366479.5670733091,58870.67371756502,2991591.003004315,8799.10115239051,20327.99688139488,7543.506723666387,2814329.3624035357,36670.60475745178,10060574
271,2022-08-29,224000.5,59691.4,2075569.7,60521.8,3324311.9,50294.1,4266184.6,3435127.8,369692.0389692616,58807.70356543434,2989147.9478567485,8796.300788399632,20423.104922856368,7543.506723666387,2811093.17776438,36762.912434922386,10060574
272,2022-08-30,226700.6,59869.7,2073371.7,60128.2,3329538.9,50294.1,4260670.8,3439961.1999999997,373095.7179990679,58709.00520541972,2986683.8905893955,8801.853211682186,20545.83961024713,7543.506723666387,2807863.22289697,36891.19954559571,10060574
273,2022-08-31,229557.0,60090.0,2071239.7,59736.1,3334713.8,50294.1,4254943.3,3444744.0,376753.3059233854,58682.340570226064,2984215.826807741,8818.233331569312,20663.477760531987,7543.506723666387,2804529.090650302,37025.21781576768,10060574
274,2022-09-01,232391.5,60295.5,2069181.4,59319.4,3339861.6,50294.1,4249230.5,3449475.1,380455.06305771513,58645.761114082234,2981714.327145751,8822.719934351311,20781.958132957538,7543.506723666387,2801211.365006191,37148.18479097524,10060574
275,2022-09-02,235176.9,60573.7,2067133.5,58914.9,3344999.5,50294.1,4243481.4,3454208.5,384181.4850935558,58645.346395174434,2979194.8753243466,8846.813725291157,20957.481052120744,7543.506723666387,2797882.560661766,37347.801501078284,10060574
276,2022-09-03,238085.4,60826.3,2065054.1,58579.8,3350106.7,50294.1,4237627.6,3458980.6,388132.90621260135,58617.48991052073,2976673.0231912094,8845.090240353686,21159.88269367295,7543.506723666387,2794512.761731218,37548.479657693024,10060574
277,2022-09-04,240905.0,61097.2,2063036.2,58235.4,3355193.4,50294.1,4231812.7,3463722.9,391826.01875960204,58651.89512505117,2974114.0238497853,8911.208349039987,21310.27048725567,7543.506723666387,2791146.9062406966,37764.98555996205,10060574
278,2022-09-05,243779.2,61402.8,2061016.0,57904.7,3360269.1,50294.1,4225908.1,3468467.9,395578.0101531934,58695.49908263836,2971524.2636685637,8953.212876392476,21540.930854770413,7543.506723666387,2787730.110330175,38037.65045482927,10060574
279,2022-09-06,246771.8,61722.6,2058985.2,57575.5,3365503.8,50294.1,4219721.0,3473373.4,399486.32715646224,58759.37134483315,2968885.197894954,8968.286873756882,21765.773043014116,7543.506723666387,2784153.008891968,38277.566640437384,10060574
280,2022-09-07,249704.9,62025.9,2057071.9,57247.7,3370510.7,50294.1,4213718.8,3478052.5,403389.38046221546,58832.92602182898,2966299.662548794,8999.224478253669,21996.89879983085,7543.506723666387,2780699.073233305,38539.630001750906,10060574
281,2022-09-08,252683.5,62299.2,2055171.9,56996.0,3375466.9,50294.1,4207662.4,3482757.0,407339.51958980114,58897.70149810602,2963688.3811509414,9000.410746182642,22254.47408253001,7543.506723666387,2777220.5842428575,38798.39155237904,10060574
282,2022-09-09,255614.3,62639.0,2053270.5,56748.3,3380422.9,50294.1,4201584.9,3487465.3,411199.26242152957,58999.987657625825,2961114.15660718,9031.265227530414,22544.832172584476,7543.506723666387,2773726.414773434,39119.604123781275,10060574
283,2022-09-10,258579.5,62956.2,2051421.1,56504.1,3385350.5,50294.1,4195468.5,3492148.7,415032.52397932624,59084.543291456524,2958465.2976502343,9086.633341892915,22876.673793407994,7543.506723666387,2770204.5855902503,39506.813858967296,10060574
284,2022-09-11,261460.0,63294.1,2049575.1,56256.8,3390293.5,50294.1,4189400.4,3496844.4,418839.35337405914,59168.24859069262,2955829.9801894715,9110.80462747391,23186.3920490015,7543.506723666387,2766717.7960064956,39840.7034001418,10060574
285,2022-09-12,264371.9,63623.5,2047776.9,56053.5,3395189.7,50294.1,4183264.4,3501537.3000000003,422718.0663670409,59286.08491248178,2953175.4313936867,9105.94690573144,23573.474610459954,7543.506723666387,2763207.6077052625,40222.92823985778,10060574
286,2022-09-13,267281.6,63957.9,2046007.5,55834.8,3400096.9,50294.1,4177101.2,3506225.8,426478.1374390017,59350.77896279037,2950522.887465008,9123.260292242023,23933.699887188355,7543.506723666387,2759664.3760282444,40600.46690309676,10060574
287,2022-09-14,270227.9,64317.0,2044233.5,55656.1,3404965.8,50294.1,4170879.6,3510916.0,430424.4524469886,59470.36887896358,2947892.298716805,9149.523216539756,24320.36118481796,7543.506723666387,2756107.731313281,41013.39112502411,10060574
288,2022-09-15,273224.7,64682.3,2042494.6,55457.0,3409848.8,50294.1,4164572.5,3515599.9,434455.5212785424,59614.48908117891,2945178.70479566,9179.815847826143,24717.5015638717,7543.506723666387,2752512.080142329,41440.82413536423,10060574
289,2022-09-16,276211.3,65099.6,2040705.8,55285.6,3414919.1,50294.1,4158058.5,3520498.8000000003,438271.2027863683,59823.993907461576,2942375.490062708,9204.61937507467,25137.014020961204,7543.506723666387,2748758.3385800305,41885.140119702264,10060574
290,2022-09-17,279209.7,65492.7,2039016.2,55106.3,3419768.7,50294.1,4151686.3,3525169.1,442080.0662099684,59936.748702361234,2939656.0361262606,9209.261903648956,25591.284500978065,7543.506723666387,2745093.203395398,42344.05312829341,10060574
291,2022-09-18,282199.9,65892.2,2037320.8,54947.9,3424615.8,50294.1,4145303.3,3529857.8,446097.7018365932,60110.75389112999,2936964.524109367,9211.34567205031,26037.134634210426,7543.506723666387,2741461.388437271,42791.98702992713,10060574
292,2022-09-19,285276.6,66294.1,2035749.3,54717.1,3429484.0,50294.1,4138758.8,3534495.2,450357.8227963183,60279.78252357917,2934180.839772288,9258.351045947651,26489.050666265866,7543.506723666387,2737761.9766940223,43290.9084358799,10060574
293,2022-09-20,288297.8,66701.6,2034153.3,54617.6,3434263.6,50294.1,4132246.0,3539175.3000000003,454313.39100004523,60472.02638112932,2931452.96254315,9289.947558517217,26940.735851865666,7543.506723666387,2734047.2454351624,43774.19013404927,10060574
294,2022-09-21,291287.9,67118.5,2032567.9,54468.9,3439100.3,50294.1,4125736.4,3543863.3,458462.87605485576,60657.88021724795,2928658.348522628,9292.85128956662,27422.620866904756,7543.506723666387,2730370.4292361946,44258.978880137765,10060574
295,2022-09-22,294294.3,67569.1,2031022.5,54346.9,3443897.2,50294.1,4119149.9,3548538.2,462659.6024264599,60840.84974825713,2925896.851940692,9282.216755172225,27903.43065216175,7543.506723666387,2726657.291397892,44729.15413100037,10060574
296,2022-09-23,297314.0,68007.0,2029467.8,54245.6,3448695.9,50294.1,4112549.6,3553235.6,466826.281971356,61092.58911684788,2923112.7743158597,9274.305582629893,28412.99634480672,7543.506723666387,2722942.8911159043,45230.808651103,10060574
297,2022-09-24,300388.0,68473.2,2027909.7,54169.5,3453466.9,50294.1,4105872.6,3557930.5,471088.65485150454,61323.8664547499,2920353.964191603,9260.015920612663,28932.430483628577,7543.506723666387,2719191.5133316815,45735.95312790763,10060574
298,2022-09-25,303440.7,68950.6,2026337.2,54069.4,3458462.0,50294.1,4099020.0,3562825.5,475167.6340269926,61542.91003226935,2917442.2247295594,9270.808499801944,29479.5378355903,7543.506723666387,2715301.9063679823,46293.85305905863,10060574
299,2022-09-26,306453.5,69407.4,2024803.6,54049.2,3463227.1,50294.1,4092339.1,3567570.4,479127.90354105865,61772.232964658164,2914643.3485597926,9258.79551345638,30007.636309612928,7543.506723666387,2711504.7682089903,46809.93854673569,10060574
300,2022-09-27,309507.8,69881.6,2023358.4,53974.1,3467987.1,50294.1,4085570.9,3572255.3000000003,483471.03802933224,61985.40809287295,2911839.6404885757,9263.449200486826,30550.017238784007,7543.506723666387,2707715.6244949894,47356.97316293722,10060574
301,2022-09-28,312553.1,70353.7,2021900.2,54006.1,3472698.9,50294.1,4078767.9,3576999.1,487529.8760243212,62255.14211862342,2909018.345938946,9266.825469922263,31108.866984993198,7543.506723666387,2703871.4430192667,47919.199178581846,10060574
302,2022-09-29,315594.5,70855.3,2020442.3,53946.7,3477486.8,50294.1,4071954.3,3581727.5999999996,491554.31009446963,62530.62249018476,2906210.53783772,9310.18004176074,31687.049259279414,7543.506723666387,2700022.1393157886,48540.73602470654,10060574
303,2022-09-30,318649.7,71350.1,2019046.3,53869.7,3482275.5,50294.1,4065088.6,3586439.3,495690.82719958614,62771.6063717506,2903364.8014371204,9335.893262564648,32266.525453633833,7543.506723666387,2696156.258871811,49145.92543986487,10060574
304,2022-10-01,321669.5,71895.3,2017593.3,53846.3,3487069.9,50294.1,4058205.6,3591210.3,499899.28605035035,63090.020648356105,2900582.062866109,9327.459772628343,32838.483373779614,7543.506723666387,2692306.4194967556,49709.44987007434,10060574
