,Date,S,E,I,Q,R,D,P,Total Cases,std S,std E,std I,std Q,std R,std D,std P,std Total Cases,N
18,2021-12-19,629401.7,143272.9,160959.3,108614.0,886630.0,54621.2,8077074.9,1049865.2,460737.858521752,92156.93132852245,58680.357872204564,25580.222798091498,2745.7060294212124,1495.316274237661,635177.9809181753,29821.245101750374,10060574
19,2021-12-20,584459.1,144612.8,167290.6,116391.6,889817.3,54645.6,8103357.0,1060854.5,405717.6080259396,93816.15744507979,64365.23313746327,29531.271954319884,3512.9734143599776,1465.8421606707864,592243.5708007306,34510.08752935065,10060574
20,2021-12-21,541816.0,145573.3,173494.5,124592.3,893511.3,54664.3,8126922.3,1072767.9000000001,354408.003090788,94763.0360478705,69973.87246572824,33938.23250273945,4475.205739404614,1444.6552564539402,552912.3377625155,39858.093498598,10060574
21,2021-12-22,504591.5,145863.2,179289.1,132387.7,897474.0,54676.8,8146291.7,1084538.5,310536.72553186043,94880.43852638963,75160.9281800724,38344.12871887951,5524.649726453253,1429.3241619730634,519860.04252261005,45298.102607305824,10060574
22,2021-12-23,470625.2,145804.4,184638.1,140158.4,901811.6,54689.1,8162847.2,1096659.1,271333.9726970436,94463.15892367775,79929.19361841455,42916.02509599415,6737.0488524278935,1414.284303101749,490906.8172596098,51067.35825152379,10060574
23,2021-12-24,439642.4,145301.3,189490.5,147956.5,906583.3,54697.7,8176902.3,1109237.5,236260.25194145544,93443.53620026374,84331.2411200618,47561.427832330686,8227.761518785044,1403.9357570772247,465482.4375539963,57193.12510819296,10060574
24,2021-12-25,411246.6,144365.2,193952.2,155742.2,911720.4,54704.7,8188842.7,1122167.3,205040.81794520817,91884.63183557955,88122.4738620064,52486.29604915935,9837.661899048982,1395.8765740566032,443208.60151582124,63719.83452226493,10060574
25,2021-12-26,385307.4,143087.5,198061.6,163313.5,917313.6,54709.3,8198781.1,1135336.4,177319.72362780178,89889.98529452544,91473.47160811159,57289.67103632207,11761.127379634998,1390.7907858481087,423754.4386687767,70441.58920180518,10060574
26,2021-12-27,361586.3,141491.8,201724.1,170719.0,923330.7,54713.5,8207008.6,1148763.2,152860.35921850373,87273.10496687969,94466.301805935,62132.11215305657,13860.165922888513,1385.183038446544,406829.6282536954,77377.46111439163,10060574
27,2021-12-28,339876.2,139594.4,204946.9,177863.5,929813.4,54716.4,8213763.2,1162393.3,131251.43655960495,84417.14944867542,96788.42907129963,66935.24956291715,16234.041740737272,1380.6695622052366,392065.37067938043,84549.96086585966,10060574
28,2021-12-29,319216.7,137233.4,207807.0,185141.7,937015.2,54718.1,8219441.9,1176875.0,111403.65017812478,80979.65611831158,98782.80430925213,71828.5682511492,18971.27160629988,1378.0597555984284,378618.955097985,92177.89961304751,10060574
29,2021-12-30,301221.4,134715.1,210095.0,191816.2,944409.3,54719.4,8223597.6,1190944.9000000001,94951.86361014722,77409.42268671172,100127.79644034916,76479.53781868717,21808.760130048657,1376.3299168440685,367633.7009772635,99664.6278655799,10060574
30,2021-12-31,284773.8,132004.8,211889.8,198249.7,952177.5,54720.7,8226757.7,1205147.9,80469.18859389599,73755.35991750023,101058.81844826804,80859.03587237484,24890.995694226454,1374.6688364839003,358050.9159170103,107124.7004030852,10060574
31,2022-01-01,269774.5,129023.5,213352.6,204284.9,960427.6,54721.4,8228989.5,1219433.9,68018.25244925071,69882.27181231303,101456.89653562247,85108.16312957295,28205.163010342625,1373.8077885934406,349829.1300521585,114687.13392850902,10060574
32,2022-01-02,256044.3,126027.4,214418.6,210001.7,969010.6,54721.9,8230349.5,1233734.2,57338.87053308602,65943.558128448,101504.38614483613,89045.15954621004,31737.921567739748,1373.170233437938,342808.3519452961,122156.25134738772,10060574
