,Date,S,E,I,Q,R,D,P,Total Cases,std S,std E,std I,std Q,std R,std D,std P,std Total Cases,N
21,2021-12-22,530702.0,209809.8,269018.8,178715.8,906938.0,53573.1,7911816.5,1139226.9,412928.2743361128,132756.1837458429,153472.502847774,34000.45001702184,9269.95351660406,4985.0723856329305,385944.4350953256,48255.475919258824,10060574
22,2021-12-23,501317.2,206096.5,275388.6,188893.4,912726.8,53632.5,7922519.0,1155252.7,407458.70401398966,130722.96952276597,157073.06376155015,35440.31307480226,10089.746704452,4964.625388687448,374457.0707101149,50494.68516794171,10060574
23,2021-12-24,475027.1,201807.1,281065.1,198843.2,919031.2,53677.2,7931123.1,1171551.6,403393.36276553926,128201.87974320035,159952.9457537122,37172.296404177134,11050.670520832662,4945.498069962216,364895.29058962927,53168.46499497201,10060574
24,2021-12-25,451513.7,197251.7,285767.8,208606.3,925858.0,53714.2,7937862.3,1188178.5,400550.5437924282,125419.58548093676,162207.79381571035,39233.471136390675,11986.202492866538,4929.637852824486,357003.8996280153,56149.3114820817,10060574
25,2021-12-26,430339.9,192426.3,289635.1,218106.6,933224.4,53747.0,7943094.7,1205078.0,398597.1752184027,122358.80253340992,163872.89973174332,41515.8897874055,13023.112601832176,4910.172074377842,350487.94138116937,59449.17446361551,10060574
26,2021-12-27,411335.1,187226.4,292874.0,227158.5,941184.5,53772.3,7947023.2,1222115.3,397262.23650995316,119127.87047639188,164978.946236785,43964.711076612344,14157.875788761532,4895.798526287617,345213.75327028905,63018.38539166149,10060574
27,2021-12-28,394193.9,181942.7,295236.7,235953.2,949652.3,53795.1,7949800.1,1239400.6,396488.5301368629,115693.70723773183,165481.67080015235,46459.15076021084,15396.618797969899,4880.8131586857535,340948.020260699,66736.5827168665,10060574
28,2021-12-29,378145.4,176325.2,296954.5,244546.1,959069.1,53812.9,7951720.8,1257428.1,395979.6470830793,112176.06835488575,165458.6078167286,49088.37698162366,16765.790744548853,4869.93177467611,337340.257365112,70724.09950084862,10060574
29,2021-12-30,364228.8,170866.3,297886.3,252442.7,968621.3,53825.3,7952703.3,1274889.3,395699.0678012269,108748.57435208058,164963.35623710498,51684.10801987396,18239.063177970518,4861.813160745691,334583.03899512003,74784.98435859017,10060574
30,2021-12-31,351705.3,165366.8,298223.3,259754.0,978764.1,53837.5,7952923.0,1292355.6,395575.6218482251,105180.11179191625,164190.60972726182,54122.69846931138,19840.032250225802,4852.443286634065,332410.31658057787,78815.17400617125,10060574
31,2022-01-01,340391.3,159845.2,297973.5,266663.1,989340.2,53847.5,7952513.2,1309850.7999999998,395701.24450475257,101708.09382128838,163043.84974309825,56551.78827844439,21526.21559308556,4843.796512034749,330760.1940115527,82921.8003835647,10060574
32,2022-01-02,330096.7,154497.5,297086.8,272991.4,1000465.5,53855.5,7951580.6,1327312.4,395846.88129908266,98258.24698746666,161568.06853509144,58853.66713502226,23335.910683965176,4837.319924296924,329507.43733312,87026.89774328437,10060574
33,2022-01-03,320895.0,149152.7,295706.5,278751.2,1012108.2,53862.8,7950097.6,1344722.2,396078.94084588747,94867.92937030934,159770.54283768957,61055.309634461766,25349.43163386509,4831.174552839092,328716.0220759554,91235.91582116595,10060574
34,2022-01-04,312574.1,143944.1,293784.3,283935.4,1024255.7,53868.1,7948212.3,1362059.2,396329.5719961986,91501.20270952726,157648.8818197262,63145.84303055902,27503.985216873574,4827.519538023643,328186.8787410764,95477.34778545625,10060574
35,2022-01-05,305020.6,138915.7,291404.0,288609.0,1036801.8,53873.3,7945949.6,1379284.1,396579.8507592638,88233.40862400137,155366.34315706862,64947.814689949344,29774.104264612226,4823.0877464545465,327914.99288632715,99545.00670101611,10060574
36,2022-01-06,298053.1,133729.7,288580.6,292839.7,1050336.9,53877.1,7943156.9,1397053.7,396937.51474821573,84989.78826429679,152888.81284397497,66748.1508253974,32293.978520615885,4820.229049536962,327937.3259699024,103862.35839555025,10060574
37,2022-01-07,292066.3,128885.3,285458.2,296381.0,1063737.0,53880.7,7940165.5,1413998.7,397338.3606175094,81994.81499954738,150349.8394025082,68208.36733568691,34839.73055578932,4816.386592664671,328169.02996512334,107864.4844841409,10060574
38,2022-01-08,286638.3,124176.1,282097.6,299326.3,1077519.2,53883.2,7936933.3,1430728.7,397737.07882571116,79110.91957049923,147638.55552409065,69441.19401630419,37590.284073946554,4813.552987139541,328472.32392092026,111845.03107739027,10060574
39,2022-01-09,281903.9,119648.8,278401.5,301778.6,1091582.5,53885.1,7933373.6,1447246.2,398097.1484036152,76259.7192360423,144802.59213650148,70549.38735694309,40421.82941493371,4811.58238940164,328988.2072036017,115782.79916127844,10060574
40,2022-01-10,277706.1,115279.5,274451.2,303589.6,1106061.7,53886.9,7929599.0,1463538.2,398400.80120312254,73563.66989791904,141891.5186561903,71399.62208471414,43413.53552994734,4809.136168793726,329656.3870623471,119622.29378345521,10060574
41,2022-01-11,273949.4,111064.4,270239.3,304979.3,1120790.3,53888.5,7925662.8,1479658.1,398810.67386473,70932.61175397392,139059.23507847296,72018.27518630255,46510.19542648686,4807.237257510805,330410.31554138864,123335.70787030022,10060574
